HO DATE,STATION, SERIES,VOUCHER NO,DCR DATE,ACC NAME,SUB HEAD,NARRATION,AMOUNT
01/01/2021,HYTR,DJJAN21,739,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF SANGHI HAMALIES AUTO TRAVELING CHARGES ON DT:31/12/2020 V.NO:AP28CV1060 AT HYTR DT:01-01-21
",-1200.00
01/01/2021,HYTR,DJJAN21,652,01/01/2021,Freight Collection O.S Others,,"CC PAYMENT OF HOG BRANCH LOADING & UNLOADING CHARGES PURPOSE ON DT:31/12/2020 AT HYTR DT:01-01-21
",-1374.00
01/01/2021,VZA,DPDEC20,15775,30/12/2020,Freight Collection O.S Others,,PAYMENT OF CC  AMOUNT AT VZA DT:30/12/20,-88.00
01/01/2021,MDM,CRDEC20,2650,30/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MDM DT:30-12-20
",265.00
01/01/2021,NPM,DPDEC20,16207,30/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT NPM DT:30/12/20,-66.00
01/01/2021,RCTR,DJJAN21,1172,01/01/2021,Freight Collection O.S Others,,"ciltd godon dt:-30/12/2020 2no of hamalis parday parherd hamalis charge for
Rs.330/-only AT RCTR DT:01-01-21.
",-660.00
01/01/2021,HYTR,DJJAN21,726,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF HYTO GODOWN STOCK VERIFICATION PURPOSE ON DT:30/12/2020 AT HYTR DT:01-01-21.
",-300.00
01/01/2021,BETR,DJJAN21,1342,01/01/2021,Freight Collection O.S Others,,PAYMENT OF BETR OFFICE CLEANING PURPOSE SEEPING EXPENSES FOR THE MONTH OF DECEMBER 2020AT BETR DT:01-01-21 ,-1000.00
01/01/2021,SLTR,DJJAN21,1296,01/01/2021,Freight Collection O.S Others,,PAYMENT OF TCAM BRANCH HAMALIES LOADING AND UNLOADING CHARGES FOR THE MONTH OF DEC 20(01.12.20 TO 31.12.20) AT SLTR DT:01-01-21.,-906.00
01/01/2021,SLTR,DJJAN21,1298,01/01/2021,Freight Collection O.S Others,,PAYMENT OF TCGM BRANCH HAMALIES LOADING AND UNLOADING CHARGES FOR THE MONTH OF DEC 20(01.12.20 TO 31.12.20) AT SLTR DT:01-01-21.,-2991.00
01/01/2021,HYTR,DJJAN21,736,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF SANGHI HAMALIES OT AMOUNT PURPOSE ON DT:31/12/2020 AT HYTR DT:01-01-21
",-2800.00
01/01/2021,BLTR,DJJAN21,1285,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF BLCB BRANCH LOADING EXPENCESS AMOUNT PAID AT BLTR DT:01-01-21
",-230.00
01/01/2021,VZCA,DPDEC20,16155,31/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT VZCA DT:31/12/20
",-1500.00
01/01/2021,GRZ,CRDEC20,2533,29/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT: GRZ DT:29-12-20
",104.00
01/01/2021,GID,DPDEC20,15499,29/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT GID DT:29/12/20,-161.00
01/01/2021,PTP,CRDEC20,2169,24/12/2020,Freight Collection O.S Others,,Recovery Of Cc Amount At:ptp Dt:24-12-20 ,325.00
01/01/2021,PTP,CRDEC20,2238,25/12/2020,Freight Collection O.S Others,,"Recovery Of Cc Amount At:ptp Dt:25-12-20 
",295.00
01/01/2021,PTP,CRDEC20,2303,26/12/2020,Freight Collection O.S Others,,Recovery Of Cc Amount At:ptp Dt:26-12-20 ,490.00
01/01/2021,PTP,CRDEC20,2086,23/12/2020,Freight Collection O.S Others,,Recovery Of Cc Amount At:ptp Dt:23-12-20 ,370.00
01/01/2021,KRTR,DJJAN21,565,01/01/2021,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT KRTR DT:01-01-21.
",-1210.00
01/01/2021,MDM,DPDEC20,16042,30/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT MDM DT:30/12/20
",-172.00
01/01/2021,BLTR,DJJAN21,724,01/01/2021,Freight Collection O.S Others,,PAMENT OF BLCB BRANCH HAMALI LODING CHARGES ON01/01/2020 AT BLTR DT:01-01-21 ,-358.00
01/01/2021,CDP,DPDEC20,14045,27/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT CDP DT:27/12/20
",-27.00
01/01/2021,STNM,CRDEC20,1942,22/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:STNM DT:22-12-20
",500.00
01/01/2021,HYA,DPDEC20,13365,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HYA DT:25/12/20,-696.00
01/01/2021,ECD,DPDEC20,12668,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT ECD DT:24/12/20
",-105.00
01/01/2021,LACR,DPDEC20,11803,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT LACR DT:23/12/20
",-82.00
01/01/2021,MKL,CRDEC20,2222,25/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:MKL DT:25-12-20
",64.00
01/01/2021,INDN,DPDEC20,9726,19/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT INDN DT:19/12/20,-800.00
01/01/2021,PTP,DPDEC20,11848,23/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT PTP DT:23/12/20,-208.00
01/01/2021,BLHS,DPDEC20,12626,24/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT BLHS DT:24/12/20,-250.00
01/01/2021,HLI,CRDEC20,2220,25/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:HLI DT:25-12-20
",180.00
01/01/2021,INDN,DPDEC20,9741,19/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT INDN DT:19-12-20,-500.00
01/01/2021,HRPH,DPDEC20,12054,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HRPH DT:23/12/20
",-519.00
01/01/2021,LACR,DPDEC20,13150,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT LACR DT:25/12/20,-90.00
01/01/2021,STBN,DPDEC20,13457,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT STBN DT:25/12/20,-1874.00
01/01/2021,ECD,CRDEC20,2040,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:ECD DT:23-12-20
",41.00
01/01/2021,LACR,DPDEC20,12909,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT LACR DT;24/12/20
",-2.00
01/01/2021,STBN,DPDEC20,13165,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT STBN DT:25/12/20
",-405.00
01/01/2021,HSSN,CRDEC20,2244,25/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:HSSN DT:25-12-20
",76.00
01/01/2021,HASK,DPDEC20,13963,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HASK DT:26/12/20
",-826.00
